listing_id,date
6369,2010-03-14
6369,2010-03-23
6369,2010-04-10
6369,2010-04-21
6369,2010-04-26
6369,2010-05-10
6369,2010-05-15
6369,2010-05-23
6369,2010-05-24
6369,2010-06-25
6369,2010-06-28
6369,2010-09-09
6369,2010-09-12
6369,2010-09-15
6369,2010-09-27
6369,2010-10-10
6369,2010-10-14
6369,2010-11-02
6369,2010-11-14
6369,2010-11-28
6369,2010-12-07
6369,2011-01-19
6369,2011-02-28
6369,2011-03-11
6369,2011-03-18
6369,2011-03-18
6369,2011-03-29
6369,2011-04-20
6369,2011-04-26
6369,2011-05-06
6369,2011-05-16
6369,2011-05-24
6369,2011-05-27
6369,2011-06-07
6369,2011-06-13
6369,2011-06-21
6369,2011-06-25
6369,2011-06-28
6369,2011-07-05
6369,2011-07-08
6369,2011-07-11
6369,2011-07-14
6369,2011-07-20
6369,2011-08-06
6369,2011-08-12
6369,2011-08-16
6369,2011-08-26
6369,2011-08-27
6369,2011-09-29
6369,2011-10-07
6369,2011-10-14
6369,2011-10-18
6369,2011-10-26
6369,2011-12-24
6369,2016-02-28
6369,2016-03-31
6369,2016-04-05
6369,2016-04-25
6369,2016-05-29
6369,2019-01-18
6369,2019-03-09
6369,2019-03-23
6369,2019-04-30
6369,2019-05-14
6369,2019-09-04
6369,2019-09-28
6369,2019-10-05
6369,2019-10-10
6369,2019-11-09
6369,2019-11-10
6369,2019-11-17
6369,2019-11-24
6369,2019-12-13
6369,2020-01-26
6369,2020-02-29
6369,2020-07-06
6369,2020-09-13
6369,2020-09-20
6369,2021-06-13
6369,2021-07-06
21853,2014-10-10
21853,2014-10-13
21853,2014-11-09
21853,2014-11-11
21853,2014-11-16
21853,2014-12-15
21853,2015-02-05
21853,2015-05-08
21853,2015-05-16
21853,2015-07-21
21853,2015-09-01
21853,2015-09-19
21853,2016-01-07
21853,2016-01-28
21853,2016-02-06
21853,2016-03-29
21853,2016-04-03
21853,2016-05-31
21853,2016-06-19
21853,2016-06-25
21853,2016-07-05
21853,2016-10-31
21853,2016-11-30
21853,2017-08-12
21853,2017-09-01
21853,2017-09-24
21853,2018-04-01
21853,2018-05-01
21853,2018-05-25
21853,2018-05-29
21853,2018-06-06
21853,2018-06-17
21853,2018-07-15
24805,2014-11-29
24805,2017-07-03
24805,2019-10-02
24805,2019-10-19
24805,2019-10-29
24805,2019-11-07
24805,2019-11-28
24805,2019-12-12
24805,2020-01-03
24805,2020-03-01
24805,2021-05-02
24805,2021-06-17
26825,2010-05-10
26825,2010-06-23
26825,2010-09-30
26825,2010-10-12
26825,2010-10-18
26825,2010-10-24
26825,2010-11-02
26825,2010-11-24
26825,2011-01-10
26825,2011-03-14
26825,2011-04-11
26825,2011-05-16
26825,2011-06-13
26825,2011-08-21
26825,2011-09-26
26825,2011-10-16
26825,2012-10-19
26825,2014-04-12
26825,2014-05-13
26825,2014-06-09
26825,2014-06-30
26825,2014-10-18
26825,2014-10-23
26825,2014-12-01
26825,2015-03-20
26825,2015-03-25
26825,2015-03-29
26825,2015-04-12
26825,2015-04-19
26825,2015-04-28
26825,2015-05-06
26825,2015-05-11
26825,2015-05-19
26825,2015-05-26
26825,2015-06-27
26825,2015-07-03
26825,2015-07-26
26825,2015-09-17
26825,2015-09-27
26825,2015-10-08
26825,2015-10-16
26825,2015-10-28
26825,2015-11-17
26825,2016-02-17
26825,2016-03-16
26825,2016-03-20
26825,2016-03-26
26825,2016-04-11
26825,2016-04-22
26825,2016-04-24
26825,2016-05-07
26825,2016-06-15
26825,2016-06-28
26825,2016-10-12
26825,2016-11-01
26825,2016-11-20
26825,2016-11-29
26825,2017-01-19
26825,2017-01-24
26825,2017-02-15
26825,2017-02-19
26825,2017-02-27
26825,2017-03-04
26825,2017-03-27
26825,2017-04-02
26825,2017-04-17
26825,2017-04-24
26825,2017-04-30
26825,2017-05-07
26825,2017-05-11
26825,2017-05-16
26825,2017-05-19
26825,2017-05-21
26825,2017-05-28
26825,2017-06-01
26825,2017-06-10
26825,2017-06-25
26825,2017-07-02
26825,2017-09-15
26825,2017-09-22
26825,2017-10-08
26825,2017-10-14
26825,2017-10-22
26825,2017-11-07
26825,2017-11-14
26825,2017-11-21
26825,2017-11-28
26825,2017-12-10
26825,2017-12-17
26825,2017-12-20
26825,2018-01-31
26825,2018-02-16
26825,2018-02-24
26825,2018-03-12
26825,2018-04-03
26825,2018-04-21
26825,2018-04-26
26825,2018-05-03
26825,2018-05-13
26825,2018-05-15
26825,2018-06-04
26825,2018-06-13
26825,2018-06-17
26825,2018-06-22
26825,2018-07-08
26825,2018-07-15
26825,2018-07-24
26825,2018-07-31
26825,2018-09-10
26825,2018-09-30
26825,2018-10-09
26825,2018-10-11
26825,2018-10-14
26825,2018-10-17
26825,2018-10-23
26825,2018-10-30
26825,2018-11-02
26825,2018-11-15
26825,2018-11-18
26825,2018-12-16
26825,2019-01-07
26825,2019-01-14
26825,2019-01-26
26825,2019-02-01
26825,2019-02-09
26825,2019-02-13
26825,2019-03-02
26825,2019-03-07
26825,2019-03-10
26825,2019-03-15
26825,2019-03-18
26825,2019-06-02
26825,2019-06-14
26825,2019-06-16
26825,2019-07-01
26825,2019-07-10
26825,2019-10-06
26825,2019-10-11
26825,2019-11-10
26825,2019-11-21
26825,2019-11-24
26825,2019-12-01
26825,2020-01-31
26825,2020-02-05
26825,2020-02-14
26825,2020-02-16
26825,2020-02-24
26825,2020-03-04
26825,2020-03-12
28200,2011-07-04
28200,2012-05-22
28200,2012-05-28
28200,2021-06-27
28200,2021-07-31
28200,2021-08-08
30320,2010-07-06
30320,2010-12-09
30320,2011-02-22
30320,2011-03-23
30320,2011-04-09
30320,2011-05-04
30320,2011-05-13
30320,2011-05-28
30320,2011-06-14
30320,2011-06-20
30320,2011-06-27
30320,2011-07-07
30320,2011-07-16
30320,2011-07-19
30320,2011-08-17
30320,2011-09-05
30320,2011-09-18
30320,2011-09-29
30320,2011-10-03
30320,2011-10-11
30320,2011-10-16
30320,2011-11-02
30320,2011-11-07
30320,2011-11-27
30320,2012-01-02
30320,2012-03-19
30320,2012-03-24
30320,2012-03-26
30320,2012-04-07
30320,2012-04-18
30320,2012-05-08
30320,2012-05-10
30320,2012-05-25
30320,2012-05-26
30320,2012-05-31
30320,2012-06-06
30320,2012-06-25
30320,2012-08-09
30320,2012-09-09
30320,2012-09-25
30320,2012-10-01
30320,2012-10-13
30320,2012-10-28
30320,2012-12-11
30320,2012-12-11
30320,2012-12-20
30320,2012-12-31
30320,2013-03-01
30320,2013-03-04
30320,2013-04-10
30320,2013-05-06
30320,2013-05-16
30320,2013-05-21
30320,2013-05-27
30320,2013-06-03
30320,2013-06-29
30320,2013-07-25
30320,2013-08-31
30320,2014-04-21
30320,2014-04-27
30320,2014-10-13
30320,2014-11-15
30320,2015-01-04
30320,2015-01-09
30320,2015-04-05
30320,2015-04-07
30320,2015-04-13
30320,2015-04-26
30320,2015-05-04
30320,2015-05-14
30320,2015-05-19
30320,2015-05-20
30320,2015-06-01
30320,2015-06-03
30320,2015-06-07
30320,2015-06-15
30320,2015-06-19
30320,2015-06-21
30320,2015-06-28
30320,2015-07-02
30320,2015-07-09
30320,2015-07-11
30320,2015-09-13
30320,2015-09-21
30320,2015-09-25
30320,2015-10-04
30320,2015-10-16
30320,2015-10-19
30320,2015-10-25
30320,2015-11-28
30320,2015-12-01
30320,2015-12-28
30320,2016-01-05
30320,2016-01-09
30320,2016-01-17
30320,2016-01-23
30320,2016-02-01
30320,2016-02-07
30320,2016-02-28
30320,2016-04-05
30320,2016-04-09
30320,2016-04-11
30320,2016-04-17
30320,2016-04-24
30320,2016-05-11
30320,2016-05-23
30320,2016-07-17
30320,2016-08-08
30320,2016-09-25
30320,2016-09-27
30320,2016-10-07
30320,2016-10-11
30320,2016-10-23
30320,2016-12-05
30320,2016-12-11
30320,2017-02-19
30320,2017-03-12
30320,2017-04-03
30320,2017-04-09
30320,2017-04-30
30320,2017-05-07
30320,2017-05-11
30320,2017-05-14
30320,2017-05-20
30320,2017-05-27
30320,2017-06-04
30320,2017-06-08
30320,2017-06-26
30320,2017-06-30
30320,2017-07-04
30320,2017-07-09
30320,2017-07-16
30320,2017-07-29
30320,2017-08-05
30320,2017-08-17
30320,2017-09-25
30320,2017-10-08
30320,2017-10-30
30320,2017-12-03
30320,2017-12-10
30320,2017-12-13
30320,2017-12-18
30320,2017-12-27
30320,2018-01-01
30320,2018-01-14
30320,2018-01-18
30320,2018-03-28
30320,2018-08-06
30320,2018-08-19
30320,2018-10-29
30320,2018-11-13
30320,2018-11-28
30320,2019-02-11
30320,2019-02-17
30320,2019-03-06
30320,2019-03-13
30320,2019-03-17
30320,2019-03-25
30320,2019-04-01
30320,2019-04-14
30320,2019-04-21
30320,2019-04-30
30320,2019-05-05
30320,2019-05-17
30320,2019-05-27
30320,2019-06-05
30320,2019-07-09
30320,2019-11-05
30320,2019-11-25
30320,2020-01-04
30478,2012-07-28
30478,2012-08-28
30478,2015-07-17
30478,2019-07-21
30478,2021-07-20
30478,2021-07-31
30959,2015-05-12
30959,2015-09-15
30959,2016-03-15
30959,2017-04-24
30959,2017-05-01
30959,2017-05-16
30959,2017-05-23
30959,2017-05-30
40718,2010-08-09
40718,2011-01-04
40718,2011-07-05
40718,2011-08-24
40718,2011-10-25
40718,2011-11-01
40718,2012-02-17
40718,2012-03-20
40718,2012-04-03
40718,2012-07-27
40718,2012-07-31
40718,2012-11-07
40718,2012-12-04
40718,2013-03-17
40718,2013-03-25
40718,2013-04-07
40718,2013-04-16
40718,2013-04-30
40718,2013-05-27
40718,2013-06-03
40718,2013-06-26
40718,2013-09-08
40718,2013-09-30
40718,2013-11-10
40718,2013-12-30
40718,2014-01-13
40718,2014-04-20
40718,2014-04-29
40718,2014-05-28
40718,2014-06-06
40718,2014-07-08
40718,2014-07-22
40718,2014-09-21
40718,2014-10-03
40718,2014-10-06
40718,2014-10-12
40718,2014-10-26
40718,2014-11-25
40718,2015-02-09
40718,2015-02-17
40718,2015-02-24
40718,2015-04-17
40718,2015-05-06
40718,2015-05-12
40718,2015-05-28
40718,2015-06-03
40718,2015-06-09
40718,2015-07-08
40718,2015-07-12
40718,2015-07-27
